OBJECTID,name,region,county,lat,long,notes
1,amelia,atlantic,nassau,30.615556,-81.453889,
2,anastasia,atlantic,st_johns,29.80406,-81.26692,
3,big_talbot,atlantic,duval,30.483056,-81.44,
4,canaveral,atlantic,brevard,28.7675,-80.776944,
5,fisher,atlantic,miami_dade,25.761667,-80.144167,
6,fort_george,atlantic,duval,30.428056,-81.425444,
7,grove_isle,atlantic,miami_dade,25.735934,-80.21866,
8,hutchinson,atlantic,st_lucie,27.296111,-80.216111,
9,jupiter,atlantic,martin_palm_beach,27.031667,-80.100556,
10,key_biscayne,atlantic,miami_dade,25.690329,-80.165118,
11,little_talbot,atlantic,duval,30.451944,-81.418889,
12,miami_beach,atlantic,miami_dade,25.813889,-80.1325,
13,north_hutchinson,atlantic,st_lucie,27.556944,-80.324722,
14,palm_beach,atlantic,palm_beach,26.715,-80.039444,
15,ponce_de_leon,atlantic,brevard,28.068333,-80.560278,
16,virginia_key,atlantic,miami_dade,25.736389,-80.155556,
17,anclote_key,gulf,pasco_pinellas,28.187778,-82.845556,
18,anna_maria,gulf,manatee,27.513056,-82.718889,
19,atsena_otie_key,gulf,levy,29.123778,-83.031,
20,cabbage_key,gulf,lee,26.655,-82.225278,
21,caladesi,gulf,pinellas,28.02,-82.821111,
22,cape_st_george,gulf,franklin,29.5935,-85.0421,
23,captiva,gulf,lee,26.518056,-82.191111,
24,casey_key,gulf,sarasota,27.15,-82.480556,
25,cayo_costa,gulf,lee,26.671944,-82.246944,
26,clearwater_beach,gulf,pinellas,27.9721,-82.8286,
27,dog_island,gulf,franklin,29.8,-84.61,
28,don_pedro,gulf,charlotte,26.872545,-82.320299,
29,egmont_key,gulf,hillsborough,27.58625,-82.761389,
30,estero_key,gulf,lee,26.436667,-81.920278,
31,gasparilla,gulf,lee,26.76427,-82.26543,
32,honeymoon,gulf,pinellas,28.068889,-82.831111,
33,keewaydin,gulf,collier,26.046111,-81.778333,
34,lido_key,gulf,sarasota,27.316944,-82.581389,
35,little_gasparilla,gulf,charlotte,26.829722,-82.290833,
36,longboat_key,gulf,manatee,27.396944,-82.644722,
37,manasota_key,gulf,charlotte,26.933333,-82.366667,
38,marco_island,gulf,collier,25.9725,-81.728889,
39,north_captiva,gulf,lee,26.590599,-82.2155,
40,perdido_key,gulf,escambia,30.300278,-87.4275,
41,pine_island,gulf,lee,26.559167,-82.099722,
42,sand_key,gulf,pinellas,27.958611,-82.826667,
43,sanibel,gulf,lee,26.439722,-82.080556,
44,santa_rosa,gulf,escambia,30.3825,-86.856389,
45,shell_key,gulf,pinellas,27.662222,-82.736944,
46,siesta_key,gulf,sarasota,27.275278,-82.5525,
47,st_george,gulf,franklin,29.659,-84.878,
48,st_vincent,gulf,franklin,29.661111,-85.143611,
49,three_rocker,gulf,pinellas,28.108472,-82.835333,
50,treasurer_island,gulf,pinellas,27.768889,-82.768333,
51,useppa,gulf,lee,26.661389,-82.212778,
52,bahia_honda_key,gulf,monroe,24.659576,-81.261578,
53,big_pine_key,gulf,monroe,24.67,-81.353889,
54,key_largo,gulf,monroe,25.0865,-80.4473,
55,islamorada,gulf,monroe,24.935833,-80.613611,
56,marathon,gulf,monroe,24.726389,-81.040278,
57,key_west,gulf,monroe,24.565176,-81.775794,
